method,environment,attack,seed,round,eval_return_mean,eval_return_std
FedAvg,Adversary,adaptive,456,90,-17.37483398218588,7.672836177488788
FedAvg,Adversary,adaptive,456,95,-17.292411994585958,8.216279302959915
FedAvg,Adversary,adaptive,456,100,-17.92033214159551,7.539135442009614
FedAvg,Adversary,adaptive,456,105,-16.98238667161885,7.617742353142066
FedAvg,Adversary,adaptive,456,110,-17.060804669433672,7.59320065137872
FedAvg,Adversary,adaptive,456,115,-17.53146299131003,8.58024697990885
FedAvg,Adversary,adaptive,456,120,-17.20714297767745,8.430649937120602
FedAvg,Adversary,adaptive,456,125,-16.378302388598524,7.732645615128718
FedAvg,Adversary,adaptive,456,130,-17.745677167974847,8.067548568065043
FedAvg,Adversary,adaptive,456,135,-17.2487565036459,7.81624700395577
FedAvg,Adversary,adaptive,456,140,-16.708309003191154,8.506162604840679
FedAvg,Adversary,adaptive,456,145,-17.41550708843749,8.192664813707383
FedAvg,Adversary,adaptive,456,150,-17.918155370393194,7.887302163971362
FedAvg,Adversary,adaptive,456,155,-18.01152237838095,8.606421874064102
FedAvg,Adversary,adaptive,456,160,-19.179707077842952,8.478490139954014
FedAvg,Adversary,adaptive,456,165,-20.262344206644965,9.326060443280682
FedAvg,Adversary,adaptive,456,170,-18.91619061529995,9.14479087941845
FedAvg,Adversary,adaptive,456,175,-18.407738898225947,8.59725798402269
FedAvg,Adversary,adaptive,456,180,-18.248168188540728,8.838353176023636
FedAvg,Adversary,adaptive,456,185,-18.941594964232138,9.255976394737113
FedAvg,Adversary,adaptive,456,190,-19.46488238071999,8.953639001530112
FedAvg,Adversary,adaptive,456,195,-18.065119525175113,8.044923996473418
FedAvg,Adversary,adaptive,456,0,-21.467225225664865,10.719672500753344
FedAvg,Adversary,adaptive,456,5,-19.769876269499264,8.66449058619462
FedAvg,Adversary,adaptive,456,10,-18.87373360754819,7.802438805941747
FedAvg,Adversary,adaptive,456,15,-18.391161427554884,6.70617213125394
FedAvg,Adversary,adaptive,456,20,-17.449620702074363,5.6953451405470314
FedAvg,Adversary,adaptive,456,25,-16.669602170378607,6.040429295461886
FedAvg,Adversary,adaptive,456,30,-16.166770210256278,5.782491275412003
FedAvg,Adversary,adaptive,456,35,-16.49079342110121,6.7520921092188715
FedAvg,Adversary,adaptive,456,40,-15.915039108866893,6.322524280475159
FedAvg,Adversary,adaptive,456,45,-15.968154785407828,6.229095238650869
FedAvg,Adversary,adaptive,456,50,-15.833276471671601,6.610144712313239
FedAvg,Adversary,adaptive,456,55,-16.542108543337243,6.682075205961753
FedAvg,Adversary,adaptive,456,60,-16.483001181425955,6.6353551423065715
FedAvg,Adversary,adaptive,456,65,-16.117521196990296,6.6847751015815815
FedAvg,Adversary,adaptive,456,70,-15.983904523693749,7.565315767162976
FedAvg,Adversary,adaptive,456,75,-16.194832023168164,7.079716812940023
FedAvg,Adversary,adaptive,456,80,-17.091947713220577,7.3818280845961315
FedAvg,Adversary,adaptive,456,85,-15.727468114201026,6.202465977518903
FedAvg,Adversary,adaptive,456,90,-15.490977077948912,6.251215192093624
FedAvg,Adversary,adaptive,456,95,-15.7177271127394,6.422775804499562
