environment,attack,byz_fraction,aggregator,seed,eval_return_mean
simple_spread_v3,sign_flip,0.5,fedavg,789,-26.892697998194368
simple_spread_v3,sign_flip,0.5,fedavg,1024,-23.89929582311791
simple_spread_v3,sign_flip,0.5,trimmed_mean,42,-27.18806607148654
simple_spread_v3,sign_flip,0.5,trimmed_mean,123,-27.12782368131824
simple_spread_v3,sign_flip,0.5,trimmed_mean,456,-25.259638062731653
simple_spread_v3,sign_flip,0.5,trimmed_mean,789,-26.77147810802048
simple_spread_v3,sign_flip,0.5,trimmed_mean,1024,-21.917882951175024
simple_spread_v3,sign_flip,0.5,geometric_median,42,-27.42351475317411
simple_spread_v3,sign_flip,0.5,geometric_median,123,-24.58646308625999
simple_spread_v3,sign_flip,0.5,geometric_median,456,-24.661196107817847
simple_spread_v3,sign_flip,0.5,geometric_median,789,-27.36505496452302
simple_spread_v3,sign_flip,0.5,geometric_median,1024,-22.181160197192877
simple_spread_v3,sign_flip,0.5,krum,42,-26.68797661807784
simple_spread_v3,sign_flip,0.5,krum,123,-25.085976225510183
simple_spread_v3,sign_flip,0.5,krum,456,-27.65854082996398
simple_spread_v3,sign_flip,0.5,krum,789,-25.196528416591978
simple_spread_v3,sign_flip,0.5,krum,1024,-25.33922286236298
simple_spread_v3,sign_flip,0.5,multi_krum,42,-23.128959943746118
simple_spread_v3,sign_flip,0.5,multi_krum,123,-27.437272570859363
simple_spread_v3,sign_flip,0.5,multi_krum,456,-24.20763218100632
simple_spread_v3,sign_flip,0.5,multi_krum,789,-23.53016923275284
simple_spread_v3,sign_flip,0.5,multi_krum,1024,-23.6865371460829
simple_spread_v3,sign_flip,0.5,fltrust,42,-25.719098194354544
simple_spread_v3,sign_flip,0.5,fltrust,123,-25.425034378959843
simple_spread_v3,sign_flip,0.5,fltrust,456,-23.84874622375268
simple_spread_v3,sign_flip,0.5,fltrust,789,-26.055840424272134
simple_spread_v3,sign_flip,0.5,fltrust,1024,-24.667201201588068
simple_spread_v3,sign_flip,0.5,flame,42,-24.3497869783822
simple_spread_v3,sign_flip,0.5,flame,123,-26.00381597230435
simple_spread_v3,sign_flip,0.5,flame,456,-23.095056534111656
simple_spread_v3,sign_flip,0.5,flame,789,-24.474030231415934
simple_spread_v3,sign_flip,0.5,flame,1024,-24.97932120017056
simple_spread_v3,sign_flip,0.5,foolsgold,42,-26.132161566493
simple_spread_v3,sign_flip,0.5,foolsgold,123,-27.001650909032943
simple_spread_v3,sign_flip,0.5,foolsgold,456,-23.870085859325197
simple_spread_v3,sign_flip,0.5,foolsgold,789,-27.637595284159246
simple_spread_v3,sign_flip,0.5,foolsgold,1024,-23.073461237251312
simple_spread_v3,sign_flip,0.5,trust_weighted,42,-25.89366688064061
simple_spread_v3,sign_flip,0.5,trust_weighted,123,-25.81578535828664
simple_spread_v3,sign_flip,0.5,trust_weighted,456,-24.64912122185561
simple_spread_v3,sign_flip,0.5,trust_weighted,789,-27.23762963757186
simple_spread_v3,sign_flip,0.5,trust_weighted,1024,-22.97891167186798
simple_spread_v3,normalized,0.5,fedavg,42,-25.29744623234504
simple_spread_v3,normalized,0.5,fedavg,123,-25.779435518987995
simple_spread_v3,normalized,0.5,fedavg,456,-24.692830209118465
simple_spread_v3,normalized,0.5,fedavg,789,-26.964538625393125
simple_spread_v3,normalized,0.5,fedavg,1024,-25.283291282614385
simple_spread_v3,normalized,0.5,trimmed_mean,42,-24.01358211887316
simple_spread_v3,normalized,0.5,trimmed_mean,123,-25.148654473863395
simple_spread_v3,normalized,0.5,trimmed_mean,456,-24.641803129050917
simple_spread_v3,normalized,0.5,trimmed_mean,789,-25.27557256372996
simple_spread_v3,normalized,0.5,trimmed_mean,1024,-25.417457991363065
simple_spread_v3,normalized,0.5,geometric_median,42,-25.453523886991725
simple_spread_v3,normalized,0.5,geometric_median,123,-24.713513955803315
simple_spread_v3,normalized,0.5,geometric_median,456,-25.612716887182213
simple_spread_v3,normalized,0.5,geometric_median,789,-25.16720215673413
simple_spread_v3,normalized,0.5,geometric_median,1024,-25.42705440135931
simple_spread_v3,normalized,0.5,krum,42,-25.267868839374664
simple_spread_v3,normalized,0.5,krum,123,-25.95110455581537
simple_spread_v3,normalized,0.5,krum,456,-23.17312909171628
simple_spread_v3,normalized,0.5,krum,789,-25.652301488393324
simple_spread_v3,normalized,0.5,krum,1024,-25.33688665815694
simple_spread_v3,normalized,0.5,multi_krum,42,-25.69308329440976
simple_spread_v3,normalized,0.5,multi_krum,123,-23.77493185100363
simple_spread_v3,normalized,0.5,multi_krum,456,-23.98543498165532
simple_spread_v3,normalized,0.5,multi_krum,789,-25.83525952269845
simple_spread_v3,normalized,0.5,multi_krum,1024,-25.167801482823343
simple_spread_v3,normalized,0.5,fltrust,42,-25.318330926311496
simple_spread_v3,normalized,0.5,fltrust,123,-24.92316048857284
simple_spread_v3,normalized,0.5,fltrust,456,-24.45934221630721
simple_spread_v3,normalized,0.5,fltrust,789,-25.556064046104364
simple_spread_v3,normalized,0.5,fltrust,1024,-25.115397866538377
simple_spread_v3,normalized,0.5,flame,42,-27.65636878713344
simple_spread_v3,normalized,0.5,flame,123,-26.97843379368758
simple_spread_v3,normalized,0.5,flame,456,-25.467568937083783
